,peak_0-1,peak_0-2,peak_0-3,peak_1-2,peak_1-3,peak_2-3,cov_0,cov_1,cov_2,cov_3,rasterfile
mGE83-O10C1-Postdeviant-29,11.124408594899872,6.488540043000988,7.367232403799473,4.635868551898885,3.7571761911004,0.8786923607984853,5.639927536924373,3.3129853252776496,0.03780414505334384,0.02823785923732747,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_29.png
mGE83-O10C1-Postdeviant-30,7.648501338115299,2.315434790069207,2.3154342013671982,5.333066548046092,5.333067136748101,5.887020089190287e-07,7.251260028583484,3.206345530370494,0.01000016492168993,0.010000136663926094,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_30.png
mGE83-O10C1-Postdeviant-31,14.123922115473226,8.99020159961372,8.99020159961372,5.1337205158595065,5.1337205158595065,0.0,4.681275282664794,4.286693879979945,0.01000000000001421,0.01000000000001421,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_31.png
mGE83-O10C1-Postdeviant-32,8.991750503778478,7.748652560567473,7.762700085188447,1.243097943211005,1.229050418590031,0.014047524620973917,7.9225224235478,8.692172344044012,0.010131195404384409,0.010000004422578325,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_32.png
mGE84-O10C1-Standard-04,6.972945673040888,11.237771942985603,6.497038175226568,4.264826269944716,0.47590749781431985,4.7407337677590355,10.246747365689872,0.039330065600444344,2.7077504097493343,0.01007225027382678,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_04.png
mGE84-O10C1-Standard-05,6.067375537914696,9.879225534918566,0.6293264337426177,3.81184999700387,6.696701971657314,10.508551968661184,0.05862443981575405,0.9276930425012004,1.828069974457427,0.0641214554545958,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_05.png
mGE84-O10C1-Standard-06,0.4832073251815716,6.118906173218303,5.832147532851229,6.602113498399874,6.3153548580328005,0.2867586403670739,0.15701408686697613,0.16195251384396328,1.5820658090464395,1.0228332831575189,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_06.png
mGE84-O10C1-Standard-07,6.346259596887352,0.8513625515445522,6.5785598184718115,5.4948970453428,0.23230022158445962,5.727197266927259,0.12515933997348558,0.7687822705488481,0.35764282206764486,1.6537984963911545,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_07.png
mGE84-O10C1-Standard-08,6.575407658393444,5.976988963212704,0.08973761731221952,0.5984186951807402,6.6651452757056635,6.066726580524923,1.2189766909671196,0.9249287916753377,1.4497976354597326,0.04608197795135542,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_08.png
mGE84-O10C1-Standard-09,6.436521417653351,9.912825873000484,6.37966655071169,3.476304455347133,0.056854866941661086,3.5331593222887943,0.1016293338784558,1.0385472165080718,2.055506320587554,1.4670468933713712,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_09.png
