,peak_0-1,peak_0-2,peak_0-3,peak_1-2,peak_1-3,peak_2-3,cov_0,cov_1,cov_2,cov_3,rasterfile
mGE85-MS-B1-32,2.4072877024638366,8.644598555189397,6.016867337605501,11.051886257653234,8.424155040069337,2.6277312175838947,[[0.25031113]],[[0.25031113]],[[0.25031113]],[[0.25031113]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE85_31.07.2019_MS.mcd/Raster_NegativeSpikes_Triggers_B1_ElectrodeChannel_32.png
mGE82-DOC1-Standard-01,9.09375,4.0525466929266685,4.599540020754505,5.0412033070733315,4.494209979245495,0.5469933278278365,[[0.06792722]],[[0.06792722]],[[0.06792722]],[[0.06792722]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_01.png
mGE82-DOC1-Standard-02,3.896010895172253,6.412906552236823,9.601803077568064,2.5168956570645697,5.70579218239581,3.1888965253312405,[[0.07437085]],[[0.07437085]],[[0.07437085]],[[0.07437085]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_02.png
mGE82-DOC1-Standard-03,10.350051964460224,5.047724687458406,7.326089805942066,5.302327277001819,3.0239621585181595,2.2783651184836593,[[0.10246768]],[[0.10246768]],[[0.10246768]],[[0.10246768]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_03.png
mGE82-DOC1-Standard-04,11.593563099084726,14.918069969572985,2.839571133548784,3.324506870488258,8.753991965535942,12.0784988360242,[[0.24096295]],[[0.24096295]],[[0.24096295]],[[0.24096295]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_04.png
mGE82-DOC1-Standard-05,2.8695466438710255,10.923221126386734,5.979434138676179,8.053674482515708,3.109887494805154,4.9437869877105545,[[0.11892897]],[[0.11892897]],[[0.11892897]],[[0.11892897]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_05.png
mGE82-DOC1-Standard-06,12.968343711935193,4.937750077629971,9.383642271918399,8.030593634305221,3.5847014400167936,4.445892194288428,[[0.17155543]],[[0.17155543]],[[0.17155543]],[[0.17155543]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_06.png
mGE82-DOC1-Standard-07,2.5916106408953574,15.590820492712677,12.164495285790695,12.99920985181732,9.572884644895337,3.4263252069219816,[[0.27665042]],[[0.27665042]],[[0.27665042]],[[0.27665042]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_07.png
mGE82-DOC1-Standard-08,15.181644334764574,3.2493909332159294,10.670922338616084,11.932253401548646,4.510721996148492,7.421531405400153,[[0.24882868]],[[0.24882868]],[[0.24882868]],[[0.24882868]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_08.png
mGE82-DOC1-Standard-09,2.896369311704225,16.685147406578572,13.332138610855832,13.788778094874349,10.435769299151609,3.353008795722741,[[0.3571409]],[[0.3571409]],[[0.3571409]],[[0.3571409]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_09.png
